rank,aclj.org,advocate.com,alternet.org,americannews.com,americanthinker.com,billmoyers.com,bizpacreview.com,blackamericaweb.com,bluenationreview.com,breitbart.com,charismanews.com,commondreams.org,conservativepost.com,conservativetribune.com,dailycaller.com,dailykos.com,dailysignal.com,democracynow.org,ecowatch.com,forwardprogressives.com,freebeacon.com,globalgrind.com,gopthedailydose.com,grist.org,headlinepolitics.com,hotair.com,ifyouonlynews.com,ijr.com,infowars.com,investors.com,legalinsurrection.com,lgbtqnation.com,libertynews.com,lifenews.com,{lifesitenews.com},lifesitenews.com,lifezette.com,lovebscott.com,madamenoire.com,madworldnews.com,mediamatters.org,mic.com,motherjones.com,nationalreview.com,nation.foxnews.com,newrepublic.com,newsone.com,occupydemocrats.com,pamelageller.com,pjmedia.com,politicususa.com,radio.foxnews.com,redstate.com,reverbpress.com,rightwingwatch.org,{rushlimbaugh.com},rushlimbaugh.com,salon.com,slate.com,sonsoflibertymedia.com,takepart.com,talkingpointsmemo.com,tampabay.com,teaparty.org,theblaze.com,thegatewaypundit.com,thegrio.com,thenation.com,thenewcivilrightsmovement.com,thepoliticalinsider.com,theroot.com,thinkprogress.org,townhall.com,trofire.com,truthdig.com,truth-out.org,twitchy.com,washingtonexaminer.com,{weeklystandard.com},weeklystandard.com,westernjournalism.com,{wnd.com},wnd.com,youngcons.com,terms,tfidf
0,6,55,132,30,253,55,59,32,30,124,339,136,83,4906,143,149,15,121,32,32,24,184,36,28,654,19,49,33,64,8,15,27,6,66,0,187,26,20,165,76,24,56,31,80,13,62,114,17,20,59,48,2,61,60,13,0,16,4,196,252,16,30,28,92,55,24,49,15,67,1116,45,56,60,24,907,87,38,56,0,39,83,0,120,80,let_us,0.220342683781
1,1,9,17,3,33,150,39,2,0,71,6438,5,13,39,125,9,4,3,6,3,61,4,8,2,8,16,8,15,8,8,30,1,1,8,0,12,12,3,12,19,30,21,3,12,13,7,2,0,10,9,9,0,27,13,1,0,48,0,117,12,2,9,7,91,33,29,0,0,9,19,3,10,31,2,92,82,44,118,0,21,30,0,20,19,email_address,0.17645157915
2,0,0,0,0,0,0,940,0,0,0,0,0,0,0,4146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,eligible_news_publisher,0.167048210342
3,0,0,0,0,0,0,940,0,0,0,0,0,0,0,4146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,available_without_charge,0.167048210342
4,0,0,1,1,40,0,1153,0,0,2,0,0,4,6,5213,0,10,0,0,0,15,0,7,0,5,17,0,0,2,0,0,0,0,2,0,2,5,0,0,2,3,0,0,0,12,0,0,0,3,6,1,0,0,0,0,0,2,0,0,34,0,0,0,39,2,6,0,0,0,9,0,0,2,0,0,1,2,3,0,2,12,0,27,22,daily_caller_news_foundation,0.155696689779
5,0,0,0,0,0,0,926,0,0,0,0,0,0,0,3662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,original_content_please_contact_email_protected,0.150543545286
6,1,1,5,0,2,0,942,0,0,6,5,2,0,2,4150,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,3,1,0,0,0,4,1,0,2,3,2,2,3,1,0,3,0,0,0,2,0,0,1,1,0,0,3,0,5,1,0,1,1,3,1,1,1,0,3,3,0,0,1,1,0,2,0,3,0,1,1,0,6,1,large_audience,0.120233611091
7,0,0,0,0,0,0,940,0,0,0,0,0,0,0,4146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,licensing_opportunities,0.118856177488
8,40,0,0,1,34,0,37,0,0,77,13,0,3,32,15,5,98,0,0,1,28,0,6,1,1,8,4,3,29,0,1,0,0,3861,0,412,8,0,1,8,11,0,1,17,9,0,0,0,0,12,1,0,14,1,1,0,11,0,4,40,0,4,0,14,5,30,0,1,0,11,0,1,16,0,0,0,12,10,0,9,55,0,53,19,aborted_babies,0.11794567053
9,34,76,263,78,295,57,126,14,28,180,84,230,44,290,125,184,26,49,102,46,50,66,25,36,38,178,221,58,124,41,29,32,3,97,0,81,59,24,131,257,66,157,100,165,35,95,39,66,52,78,201,11,111,126,44,0,49,16,327,111,50,64,57,196,60,24,38,38,80,92,85,145,87,109,72,169,70,122,0,58,124,0,141,151,yet_another,0.0947627626053
10,10,84,192,11,213,41,176,19,2,294,88,115,25,169,193,130,42,72,80,40,89,35,29,47,29,106,105,65,50,55,30,43,3,181,0,105,53,26,64,215,98,163,92,122,36,91,44,9,69,53,66,6,110,62,33,0,17,6,430,144,52,122,117,247,92,76,36,25,57,41,57,308,96,16,66,98,55,195,0,48,191,0,132,91,least_one,0.0945993382796
11,6,68,296,20,211,59,83,17,17,167,60,190,22,334,130,176,43,115,65,95,51,37,24,121,42,214,127,50,48,18,22,15,1,58,0,129,63,45,199,270,86,285,79,211,24,158,38,54,31,69,97,3,191,98,26,0,92,5,541,194,94,105,59,141,90,23,44,57,43,33,71,274,98,50,88,193,62,174,0,91,91,0,88,136,first_place,0.0912374664355
12,0,34,185,36,111,62,125,7,30,232,24,101,31,155,178,114,10,316,20,9,155,3,25,27,38,121,93,54,29,0,29,19,0,72,0,18,139,3,12,51,123,76,70,150,31,74,51,21,6,46,136,26,142,62,36,0,40,5,169,31,14,229,51,302,108,65,24,41,36,80,32,137,166,47,62,73,71,519,0,53,204,0,71,119,campaign_trail,0.0901868814842
13,2,256,416,31,91,93,142,91,11,308,196,93,40,118,258,95,56,226,57,49,42,224,22,89,35,60,86,95,27,25,27,82,0,132,0,150,55,168,954,254,64,506,100,128,32,155,100,15,20,42,52,16,96,61,25,0,111,37,997,89,110,67,227,232,118,18,175,38,71,44,191,307,67,24,66,150,36,83,0,36,143,0,94,165,feel_like,0.0872218972884
14,19,61,158,37,159,42,102,29,11,215,70,94,37,117,141,150,27,158,54,84,56,59,37,31,43,169,42,47,36,115,33,46,1,168,0,73,38,72,119,100,59,58,73,128,40,61,49,8,55,77,78,6,132,39,27,0,108,14,275,110,29,87,113,225,54,72,39,27,84,56,62,127,94,42,56,71,41,170,0,84,123,0,151,82,weeks_ago,0.0851674200503
15,4,127,346,30,170,116,127,87,9,214,166,163,48,114,163,173,68,247,161,28,68,78,23,119,27,43,61,58,54,63,32,39,0,140,0,139,64,30,113,111,127,112,108,152,18,116,65,14,45,36,60,10,69,43,14,0,98,15,492,86,187,79,221,197,94,36,54,41,30,30,149,235,87,48,145,312,30,142,0,65,86,0,169,39,20_years,0.0797277246359
16,0,20,54,18,62,6,111,10,1,288,38,27,54,500,156,38,1,76,6,12,31,7,34,1,36,13,73,94,49,2,11,8,2,80,0,20,40,1,5,28,113,54,14,4,42,1,54,8,22,30,33,13,25,25,3,0,6,6,20,50,1,274,22,207,101,88,37,6,26,87,23,391,34,104,43,42,9,195,0,28,536,0,70,161,presidential_candidate_donald_trump,0.0788172176781
17,1,76,134,13,61,19,180,3,6,294,28,44,25,160,173,109,16,158,3,9,55,8,17,24,48,33,80,2,40,1,11,38,1,15,0,29,104,3,5,33,150,97,82,66,44,27,49,48,8,48,62,27,95,60,60,0,28,4,173,30,7,160,38,524,98,73,19,36,51,55,46,137,86,16,71,50,61,317,0,65,204,0,59,97,republican_national_convention,0.0776265547334
18,5,8,0,3,33,1,38,0,0,5,40,0,4,29,10,0,2589,1,0,0,3,0,0,0,6,13,5,12,7,0,7,2,0,74,0,110,1,0,2,5,21,0,0,3,1,0,0,0,3,5,3,0,15,0,1,0,3,0,0,10,0,0,0,38,9,10,0,0,9,8,0,20,6,0,0,4,9,6,0,4,33,0,66,17,daily_signal,0.0756421164921
19,3,0,2,3,134,4,81,0,1,122,3,5,11,297,35,4,5,2,0,2,6,0,21,0,28,18,6,6,31,0,10,0,2,19,0,14,5,0,1,105,21,0,0,7,9,1,1,0,11,11,10,2,81,2,5,0,1289,0,5,150,0,4,0,146,35,69,0,1,2,119,2,4,47,3,1,2,21,18,0,2,111,0,40,102,democrat_party,0.0753853068373
20,12,48,151,18,168,32,94,17,9,211,86,114,32,130,107,151,28,164,51,88,66,80,28,19,33,129,73,50,51,118,23,40,0,66,0,62,31,40,130,122,61,69,52,128,27,61,44,10,59,61,69,6,98,49,19,0,71,12,295,74,36,85,156,195,65,37,35,23,58,58,59,125,66,45,73,91,41,161,0,73,94,0,112,62,months_ago,0.0736109855863
21,4,65,276,6,228,79,62,4,13,169,116,260,23,111,154,109,51,81,83,100,48,3,22,68,22,82,61,19,61,40,24,34,0,91,0,104,55,4,19,74,114,103,75,193,14,83,25,43,55,56,119,4,86,65,24,0,114,4,331,153,81,60,56,189,58,8,16,56,71,39,38,299,135,30,111,244,13,117,0,65,60,0,130,63,vast_majority,0.0727938639575
22,14,48,191,20,143,67,84,26,9,124,322,142,24,152,103,225,23,42,138,29,23,35,8,200,39,142,75,26,20,116,22,17,0,109,0,108,48,19,93,74,58,84,90,125,14,49,43,4,16,61,139,40,123,80,18,0,22,4,337,80,103,26,103,114,34,22,15,33,48,42,26,147,110,31,89,119,103,106,0,60,73,0,83,75,good_news,0.0711362743677
23,2,23,51,76,90,11,224,31,0,236,49,57,58,235,231,33,11,31,0,1,28,36,49,2,41,19,38,11,3,0,17,12,2,3,0,4,16,38,25,186,4,118,18,38,19,12,87,22,12,61,14,5,53,32,4,0,43,0,63,46,2,20,22,208,126,42,95,11,38,127,155,124,73,7,42,16,83,46,0,11,175,0,35,180,national_anthem,0.0694319921134
24,11,65,124,34,134,29,67,27,1,146,195,195,21,100,104,67,44,112,71,17,114,46,26,52,21,81,50,36,40,33,14,28,0,163,0,155,28,18,52,107,27,50,60,54,11,57,88,17,48,29,42,7,57,39,40,0,33,7,198,128,51,60,65,182,80,51,36,21,43,30,60,139,44,20,74,173,26,167,0,34,136,0,101,75,take_place,0.0692685677876
25,13,31,60,16,91,12,144,2,7,294,14,86,17,215,192,21,7,142,10,2,61,1,21,1,16,36,24,67,31,0,25,10,1,22,0,13,38,0,1,22,84,55,29,50,40,5,14,35,13,59,94,12,37,26,9,0,6,0,16,65,3,88,4,225,74,45,12,23,32,63,20,54,111,11,41,53,17,355,0,46,97,0,65,83,state_hillary_clinton,0.0658133106145
26,0,36,128,26,88,27,217,39,1,278,17,69,26,353,137,65,9,150,8,4,10,84,32,6,58,36,39,52,51,0,20,3,0,10,0,4,74,33,72,268,99,107,47,58,26,15,247,7,14,33,34,0,20,54,35,0,16,0,82,28,38,59,13,147,74,66,162,18,15,86,149,147,35,40,85,135,6,86,0,10,114,0,100,111,black_lives_matter_movement,0.0652763449728
27,0,17,48,109,86,5,224,5,2,195,39,18,98,240,130,26,9,11,5,5,35,6,52,2,50,16,42,65,32,1,14,16,0,2,0,4,19,2,4,196,20,28,24,27,15,13,13,5,12,24,27,5,16,33,11,0,77,0,42,43,4,39,43,123,74,59,22,3,26,168,11,20,34,12,23,17,48,43,0,19,166,0,91,110,american_flag,0.0646693403343
28,18,54,262,11,133,67,43,13,3,168,103,165,28,71,121,132,48,91,246,30,36,24,13,157,25,32,83,40,51,48,13,25,1,360,0,203,44,12,61,89,58,115,98,85,14,72,34,21,16,56,71,9,52,46,15,0,94,9,380,96,223,35,181,100,53,16,20,27,28,31,51,291,58,51,81,270,23,106,0,37,51,0,131,28,every_year,0.0643191453505
29,0,6,128,6,143,18,65,0,13,228,9,48,6,52,110,78,10,12,15,92,21,1,14,28,37,157,87,36,17,0,24,5,1,16,0,12,104,0,1,10,53,30,56,152,18,80,21,6,1,27,275,8,177,44,19,0,101,11,209,15,1,122,31,232,27,72,9,12,29,54,5,76,87,53,26,32,5,322,0,101,129,0,80,40,republican_voters,0.0636421017152
30,3,1,8,19,22,2,22,5,1,114,9,16,17,1876,1,3,0,0,0,2,3,0,24,0,9,5,4,7,4,0,4,22,0,0,0,0,4,0,0,2,2,137,0,1,11,0,3,0,117,8,0,0,0,2,0,0,1,0,3,18,0,60,21,74,125,16,24,1,1,18,19,5,16,1,6,13,5,10,0,3,19,0,36,30,islamic_state_group,0.0619378194609
31,1,9,112,19,196,22,92,6,20,169,33,87,18,135,92,85,23,19,5,8,24,11,24,12,15,61,89,47,53,0,22,11,0,9,0,8,48,3,10,77,51,42,27,131,38,44,31,23,13,37,97,11,56,43,17,0,47,5,122,157,2,49,17,210,40,23,22,28,42,53,29,33,78,27,56,48,29,183,0,65,97,0,95,96,oval_office,0.0612841221579
32,64,19,89,3,89,112,60,1,7,134,43,98,15,44,128,57,123,73,22,8,148,4,18,35,13,47,21,32,10,14,14,6,0,42,0,33,37,1,5,13,69,34,50,61,49,26,20,7,20,63,27,114,50,21,11,0,24,1,79,38,12,144,24,251,31,18,10,23,14,20,19,154,143,20,53,89,16,278,0,63,85,0,110,33,capitol_hill,0.0604903468614
33,12,52,150,23,149,60,78,23,3,176,70,59,30,129,95,84,34,89,32,28,28,45,19,36,44,33,77,55,20,11,12,14,0,148,0,99,40,26,232,150,29,77,44,69,25,53,32,15,14,43,59,8,51,48,31,0,70,5,243,71,53,54,82,121,45,20,34,12,26,45,58,105,41,30,41,91,24,111,0,47,73,0,102,62,take_care,0.0582957916298
34,6,11,141,5,170,114,67,0,25,104,43,141,8,85,68,168,19,51,5,26,36,1,10,8,20,119,60,12,29,3,10,15,2,12,0,6,100,0,9,21,77,43,41,163,38,53,35,16,10,31,191,5,97,38,15,0,36,47,151,62,10,94,42,257,67,22,17,53,40,44,20,183,117,27,90,77,32,280,0,58,94,0,72,41,election_day,0.0579222503138
