rank,side,term,tfidf
0,left,feel_like,0.184918302769
1,left,20_years,0.129284181041
2,left,new_orleans,0.126083236156
3,left,first_place,0.118576595495
4,left,yet_another,0.10489468063
5,left,every_year,0.102033659095
6,left,vast_majority,0.0936488831117
7,left,rights_reserved,0.0912410927111
8,left,let_us,0.0905329190638
9,left,least_one,0.0890315909317
10,left,police_brutality,0.0882384364467
11,left,material_may,0.0880118208796
12,left,rewritten_or_redistributed,0.0878135322584
13,left,good_news,0.0850374915612
14,left,lgbt_community,0.0848108759941
15,left,90_percent,0.0778707742511
16,left,months_ago,0.0774458700627
17,left,three_times,0.0764261000107
18,left,weeks_ago,0.0761428305518
19,left,ever_since,0.0742165982313
20,left,campaign_trail,0.073763367097
21,left,north_dakota,0.0728569048286
22,left,federal_judge,0.0705907491574
23,left,juan_gonzlez,0.0692877096465
24,left,many_ways,0.0675597659472
25,left,black_lives_matter_movement,0.066568322841
26,left,take_place,0.0657468414102
27,left,white_men,0.0645004557911
28,left,weve_seen,0.0638772629815
29,left,much_less,0.0637639551979
30,left,take_care,0.063225743226
31,left,get_rid,0.0630274546048
32,left,republican_national_convention,0.0612428570138
33,left,60_percent,0.0612145300679
34,left,election_day,0.0604780294747
35,left,past_year,0.0594299324768
36,left,los_angeles_times,0.0584101624248
37,left,feels_like,0.0577303157234
38,left,next_day,0.0564556031584
39,left,much_better,0.0564272762125
40,left,black_community,0.0555491408899
41,left,great_deal,0.055265871431
42,left,american_politics,0.0550392558639
43,left,looked_like,0.0547276594591
44,left,lgbt_rights,0.0546143516755
45,left,days_later,0.0535379277317
46,left,white_supremacy,0.0534529468941
47,left,take_action,0.051668349303
48,left,making_sure,0.0515267145736
49,left,whole_thing,0.0507902139804
50,left,move_forward,0.0507335600886
51,left,makes_sense,0.0500820403332
52,left,final_form,0.049600482253
53,left,rush_transcript,0.0493172127941
54,left,make_sense,0.0492888858483
55,left,fossil_fuel_industry,0.0492039050106
56,left,republican_voters,0.0490622702811
57,left,copy_may,0.0490056163894
58,left,white_supremacists,0.0487790008222
59,left,police_violence,0.0485240583092
60,left,presidential_candidate_donald_trump,0.0465978259887
61,left,tells_us,0.0457763445579
62,left,bill_cosby,0.0450681709107
63,left,10_million,0.0450681709107
64,left,long_ago,0.0449548631271
65,left,100_million,0.0437934583456
66,left,common_dreams,0.0435951697244
67,left,public_education,0.0435668427785
68,left,voting_rights_act,0.0435385158326
69,left,public_safety,0.0431985924819
70,left,doesnt_matter,0.0429436499689
71,left,thus_far,0.0418672260251
72,left,large_part,0.041640610458
73,left,bad_news,0.0416122835121
74,left,whole_lot,0.0415556296203
75,left,capitol_hill,0.0414989757286
76,left,study_published,0.0414706487827
77,left,four_times,0.0413573409991
78,left,democratic_nomination,0.0413290140532
79,left,constitutional_rights,0.0400826284341
80,left,put_together,0.0396577242457
81,left,look_forward,0.0394877625704
82,left,ive_seen,0.0393744547868
83,left,senator_sanders,0.0392894739492
84,left,trans_women,0.0392611470033
85,left,sandra_bland,0.0392044931115
86,left,much_money,0.0392044931115
87,left,friday_night,0.0389495505985
88,left,radio_show,0.0386379541937
89,left,oval_office,0.038552973356
90,left,political_revolution,0.0380714152759
91,left,new_york_state,0.037788145817
92,left,nicki_minaj,0.0375048763581
93,left,next_month,0.0374765494122
94,left,el_nio,0.0369949913321
95,left,national_anthem,0.0366833949273
96,left,nearly_every,0.0366550679814
97,left,sen_sanders,0.0364567793602
98,left,take_advantage,0.0364001254684
99,left,college_students,0.0364001254684
100,left,republican_nomination,0.0362018368472
101,left,des_moines,0.0359185673883
102,left,nt_need,0.0357769326588
103,left,nearly_half,0.0355219901458
104,left,senate_republicans,0.0355219901458
105,left,pop_culture,0.0354370093081
106,left,president_george_w,0.0351820667951
107,left,browser_does_not_support_iframes,0.0350404320657
108,left,one_reason,0.0349271242821
109,left,held_accountable,0.0348987973362
110,left,3_million,0.0348704703903
111,left,wan_na,0.0346438548232
112,left,big_banks,0.0346438548232
113,left,credit_shutterstock,0.0345588739856
114,left,southern_poverty_law_center,0.0344738931479
115,left,real_estate_mogul,0.0342472775808
116,left,american_civil_liberties,0.0340773159054
117,left,going_forward,0.0340489889595
118,left,breast_cancer,0.033935681176
119,left,future_generations,0.0338223733924
120,left,soviet_union,0.0338223733924
121,left,international_law,0.0338223733924
122,left,pregnant_women,0.0337940464465
123,left,alton_sterling,0.0337657195006
124,left,greenhouse_gases,0.03342579615
125,left,top_10,0.0333691422582
126,left,openly_gay,0.0333691422582
127,left,conspiracy_theory,0.0333124883664
128,left,least_two,0.0331991805828
129,left,public_service,0.0330008919616
130,left,paris_agreement,0.032915911124
131,left,title_ix,0.0326892955568
132,left,days_ago,0.0324910069356
133,left,sea_level_rise,0.0324910069356
134,left,go_ahead,0.0324910069356
135,left,determine_whether,0.0322077374767
136,left,dylann_roof,0.0321794105308
137,left,vietnam_war,0.0318961410719
138,left,heart_disease,0.0317828332884
139,left,state_hillary_clinton,0.031612871613
140,left,past_decade,0.0313579291
141,left,decade_ago,0.0311596404788
142,left,racial_justice,0.0311596404788
143,left,past_few_years,0.0311313135329
144,left,chief_executive,0.0310746596411
145,left,student_debt,0.0310463326952
146,left,hb_2,0.0309330249117
147,left,high_levels,0.030848044074
148,left,board_member,0.030848044074
149,left,solar_panels,0.0306497554528
150,left,pay_attention,0.0305081207233
151,left,eric_garner,0.0303664859939
152,left,reality_show,0.030338159048
153,left,tampa_bay_times,0.0302815051562
154,left,recent_weeks,0.0301965243185
155,left,state_legislatures,0.0301681973726
156,left,south_florida,0.0298566009679
157,left,issue_marriage_licenses,0.0297999470761
158,left,sexual_violence,0.0296866392925
159,left,moving_forward,0.0293750428877
160,left,like_donald_trump,0.0293750428877
161,left,sexually_assaulted,0.0293183889959
162,left,philando_castile,0.0292334081583
163,left,news_station,0.0292050812124
164,left,found_guilty,0.0291767542665
165,left,gay_couples,0.0291484273206
166,left,red_cross,0.0290917734288
167,left,local_governments,0.0290634464829
168,left,last_decade,0.0289501386994
169,left,nermeen_shaikh,0.0289501386994
170,left,long_term,0.0289218117535
171,left,found_dead,0.0288651578617
172,left,pinellas_county,0.0288651578617
173,left,recent_months,0.0288368309158
174,left,solar_power,0.0288368309158
175,left,recent_interview,0.0288085039699
176,left,environmental_groups,0.028780177024
177,left,takes_place,0.0286951961864
178,left,next_generation,0.0286385422946
179,left,human_rights_campaign,0.0282419650521
180,left,climate_crisis,0.0282419650521
181,left,rick_scott,0.0282136381062
182,left,much_time,0.0281853111604
183,left,12_percent,0.0281853111604
184,left,jon_stewart,0.028015349485
185,left,never_mind,0.0279020417015
186,left,bottled_water,0.0278737147556
187,left,amy_goodman_well,0.0278687738472
188,left,election_season,0.0277320800261
189,left,copyright_2015,0.0276754261343
190,left,45_percent,0.0274204836213
191,left,ice_cream,0.0273921566754
