rank,side,term,tfidf
0,right,let_us,0.220342683781
1,right,email_address,0.17645157915
2,right,eligible_news_publisher,0.167048210342
3,right,available_without_charge,0.167048210342
4,right,daily_caller_news_foundation,0.155696689779
5,right,original_content_please_contact_email_protected,0.150543545286
6,right,large_audience,0.120233611091
7,right,licensing_opportunities,0.118856177488
8,right,aborted_babies,0.11794567053
9,right,yet_another,0.0947627626053
10,right,least_one,0.0945993382796
11,right,first_place,0.0912374664355
12,right,campaign_trail,0.0901868814842
13,right,feel_like,0.0872218972884
14,right,weeks_ago,0.0851674200503
15,right,20_years,0.0797277246359
16,right,presidential_candidate_donald_trump,0.0788172176781
17,right,republican_national_convention,0.0776265547334
18,right,daily_signal,0.0756421164921
19,right,democrat_party,0.0753853068373
20,right,months_ago,0.0736109855863
21,right,vast_majority,0.0727938639575
22,right,good_news,0.0711362743677
23,right,national_anthem,0.0694319921134
24,right,take_place,0.0692685677876
25,right,state_hillary_clinton,0.0658133106145
26,right,black_lives_matter_movement,0.0652763449728
27,right,american_flag,0.0646693403343
28,right,every_year,0.0643191453505
29,right,republican_voters,0.0636421017152
30,right,islamic_state_group,0.0619378194609
31,right,oval_office,0.0612841221579
32,right,capitol_hill,0.0604903468614
33,right,take_care,0.0582957916298
34,right,election_day,0.0579222503138
35,right,federal_judge,0.0573385920076
36,right,ever_since,0.056731587369
37,right,privacy_policy,0.0556576560855
38,right,three_times,0.0555876170888
39,right,republican_nomination,0.0546070711342
40,right,black_community,0.0540701054925
41,right,share_your_thoughts,0.0531595985347
42,right,latest_video_at_videofoxnewscom,0.0525292475639
43,right,get_rid,0.0514319699481
44,right,next_day,0.0507082336484
45,right,much_better,0.0504514239936
46,right,much_less,0.0498677656874
47,right,comments_section,0.0497743803584
48,right,weve_seen,0.0496576486971
49,right,days_later,0.0486771027426
50,right,constitutional_rights,0.0473697081365
51,right,friday_night,0.0468093961625
52,right,past_year,0.0464592011788
53,right,interesting_story,0.0462490841885
54,right,president_george_w,0.0461790451918
55,right,bear_arms,0.0459455818693
56,right,open_borders,0.0458755428725
57,right,whole_thing,0.0456187332177
58,right,republican_establishment,0.0450117285792
59,right,looked_like,0.04470822626
60,right,great_deal,0.044521455602
61,right,gop_establishment,0.0438444119667
62,right,thus_far,0.0437510266377
63,right,im_gon_na,0.0415097787416
64,right,long_ago,0.0411362374256
65,right,days_ago,0.0408093887741
66,right,doesnt_matter,0.0406459644484
67,right,terrorist_groups,0.0404358474581
68,right,bad_news,0.0404358474581
69,right,gop_nomination,0.0394319551713
70,right,take_action,0.0391751455166
71,right,sanctuary_cities,0.0390817601876
72,right,recent_weeks,0.0389650285263
73,right,tells_us,0.0388249505328
74,right,des_moines,0.0387782578683
75,right,60_percent,0.0387315652038
76,right,told_wnd,0.0386148335426
77,right,soviet_union,0.038568140878
78,right,texas_sen_ted_cruz,0.0385214482135
79,right,refugee_resettlement,0.0384047165523
80,right,white_privilege,0.0384047165523
81,right,reprinted_with_permission,0.0378444045783
82,right,real_estate_mogul,0.0377510192493
83,right,taxpayer_dollars,0.037727672917
84,right,100_million,0.03744751693
85,right,los_angeles_times,0.0374241705978
86,right,making_sure,0.0372373999398
87,right,college_campuses,0.036420278311
88,right,least_two,0.0363735856465
89,right,move_forward,0.0363502393142
90,right,mr_obama,0.036140122324
91,right,contested_convention,0.0360934296595
92,right,radio_show,0.0360000443305
93,right,gop_front-runner,0.0359766979982
94,right,new_orleans,0.035953351666
95,right,10_million,0.035953351666
96,right,held_accountable,0.0358132736725
97,right,next_month,0.035673195679
98,right,public_safety,0.0348327277179
99,right,vice_president_joe_biden,0.0344591864019
100,right,gop_candidate,0.0344591864019
101,right,border_security,0.0342490694117
102,right,pro-life_movement,0.0342257230794
103,right,going_forward,0.0338755280957
104,right,look_forward,0.0338521817634
105,right,nt_care,0.0338054890989
106,right,lgbt_community,0.0337587964344
107,right,christian_faith,0.0336887574377
108,right,chief_executive,0.0336654111054
109,right,first_ballot,0.0334786404474
110,right,many_ways,0.0332685234572
111,right,90_percent,0.0330817527992
112,right,support_donald_trump,0.0328015968121
113,right,advertisement_story_continues_below_according,0.032681205559
114,right,makes_sense,0.0325914798219
115,right,take_advantage,0.0324980944929
116,right,make_sense,0.0322412848381
117,right,american_politics,0.0321712458414
118,right,young_girls,0.0321478995091
119,right,north_dakota,0.0317276655286
120,right,mr_trumps,0.0316809728641
121,right,advertisement_story_continues_below_trump,0.0313687073438
122,right,recent_months,0.0310973145578
123,right,passed_away,0.0308638512353
124,right,recent_interview,0.0308405049031
125,right,college_students,0.0307004269096
126,right,registered_voters,0.0306537342451
127,right,45_percent,0.0303502319258
128,right,put_together,0.0303502319258
129,right,oil_prices,0.0298833052808
130,right,whole_lot,0.0297665736196
131,right,pop_culture,0.0297432272873
